Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
*Defense Contracting (Brand),Technical Memo Variant J: One-Page Executive Summary + Appendix Strip,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Summary icon, bookmark, doc tabs, pin","Top summary panel, 3 key bullets, decisions/actions row, appendix/reference strip","KPI tiles (small), decision table",Light ruled paper,"Vague ownership, dense prose","“Technical writing one-page executive memo slide, #442C81/#0461DD palette, Times New Roman, top summary panel with three key bullets, decisions/actions row, small KPI tiles and decision table, appendix/reference strip at bottom, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),Technical Memo Variant B: Header Band + Subheader Chips,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Note tag, tag chips, pin, doc tabs","Thick header band (title + owner/date), subheader chips (priority, status), body sections","KPI tiles (small), decision table",Light ruled paper,"Vague ownership, dense prose","“Technical writing memo slide, #442C81 header band with #0461DD status chips, Times New Roman, metadata header (owner/date/version), problem/solution and key decisions, small KPI tiles + decision table, light ruled paper background, crisp #141827 text, minimal clutter.”"
*Defense Contracting (Brand),Technical Memo Variant E: Decision Record Memo (ADR-Style),#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Decision stamp, scale, doc tabs, pin","Decision card at top, context/options grid, consequences box, approvals footer","Option score table, decision timeline",Light ruled paper,"Vague ownership, dense prose","“Technical writing decision-record memo slide, #442C81 and #0461DD theme, Times New Roman, top decision card, context + options grid, consequences box, approvals/footer, option score table and decision timeline, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),Technical Memo Variant G: Engineering Change Notice Memo,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Delta/change icon, stamp, doc tabs, checklist","Change header (what/why), impacts column, approvals/signature block","Impact table, schedule mini timeline",Light ruled paper,"Vague ownership, dense prose","“Technical writing engineering change memo slide, #442C81 and #0461DD theme, Times New Roman, change header (what/why), impacts column (cost/schedule/tech), impact table + mini schedule timeline, approvals/signature block, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),Technical Memo Variant D: Annex Tabs + Mini Appendix,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Tabs, paperclip, doc icon, note tag","Metadata header + annex tabs (A/B/C), main body + short appendix strip","Timeline, action tracker table",Light ruled paper,"Vague ownership, dense prose","“Technical writing memo slide, #442C81/#0461DD theme with annex tabs A/B/C, Times New Roman, metadata header, problem/solution sections, action tracker table and timeline, mini appendix strip with references, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),Technical Memo (Original),#FAFAF9 #111827 #334155 #2563EB #94A3B8,"Sans, compact headings, bullet-first","Note tag, pin, doc tabs","Header metadata block, problem/solution sections, action items","Simple timeline, decision table",Light ruled paper,"Vague ownership, dense prose","“Technical writing memo slide, metadata header block with problem/solution sections and action items, compact headings, decision table and small timeline, light ruled paper background, crisp readable.”"
*Defense Contracting (Brand),Technical Memo Variant I: Cost/Schedule Impact Brief,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Coin stack, calendar, chart arrow, doc tabs","Executive summary band, cost drivers column, schedule strip, decision box","Cost waterfall (small), milestone timeline",Light ruled paper,"Vague ownership, dense prose","“Technical writing cost/schedule memo slide, #442C81 and #0461DD theme, Times New Roman, executive summary band, cost drivers column, schedule strip, decision box, small cost waterfall and milestone timeline, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),"Technical Memo (New Design, White Background)",#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman (all text), compact headings, bullet-first","Note tag, pin, doc tabs","Metadata header block (owner/date/version), problem section, solution section, action items list","Decision table, small simple timeline","Pure white background only (no ruled lines, no textures, no gradients)","Vague ownership, dense prose, logos","“Technical writing memo slide, use Times New Roman for all text (titles, headings, body, tables, labels). Pure white background only (no ruled lines, no textures, no gradients). Keep #442C81 primary accent and #0461DD secondary accent for section headers, dividers, and small callout strokes. Use #141827 for all body text and #1F2537 for secondary labels. Layout includes: metadata header block (owner/date/version), problem section, solution section, action items list, decision table, and a small simple timeline. Compact headings, bullet-first, high readability, no logos.”"
Aerospace and Aviation,Satellite Operations Telemetry Console (On-Orbit),#0B1220 #111827 #8B5CF6 #38BDF8 #22C55E,"Sleek sans, numeric tiles","Orbit arcs, satellite glyph, ground station, antenna","Telemetry tiles, orbit plot inset, comm windows","Sparklines, battery trend, link margin bars",Dark grid with faint orbit traces,"Real satellite IDs, tracking data, agency logos","“Satellite ops telemetry infographic slide, sleek dark console with telemetry tiles and orbit plot inset, numeric readouts, orbit and ground station icons, battery trend and link margin bars with status sparklines, faint orbit-trace background, crisp readable, no real satellite IDs or tracking data.”"
Aerospace and Aviation,Aerospace Program Review (PDR/CDR),#0A2540 #F8FAFC #334155 #38BDF8 #F59E0B,"Executive-technical sans, strict hierarchy","Blocks, checklist, schedule, risk tags","Agenda rail, subsystem tiles, schedule strip, risk column","Gantt mini, margin bars, risk heatmap, action log",Clean white with faint diagonal watermark,"Official seals, contractor logos, classified banners","“Aerospace program review slide theme, structured agenda rail with subsystem tiles and schedule strip, executive-technical typography, conservative charts (Gantt, margin bars, risk heatmap) and action log, navy and steel palette with sky-blue accents and amber warnings, crisp vector, no logos or seals.”"
Aerospace and Aviation,Airport Terminal Wayfinding System (Signage Design),#0B1220 #F8FAFC #1D4ED8 #FACC15 #A3A3A3,"Signage sans, high legibility","Gate, baggage, restroom, security, train","Wayfinding panels, icon-first blocks, clear arrows","Passenger flow bars, dwell-time trend, queue wait tiles",Clean light with subtle directional chevrons,"Real airport maps, branded pictograms, excessive decoration","“Airport wayfinding infographic slide, signage-first layout with icon blocks and bold arrows, high-legibility typography, gate and baggage icons, passenger flow bars and queue wait tiles, clean background with subtle chevrons, crisp and minimal, no real airport maps or branded pictograms.”"
Aerospace and Aviation,Weather and Turbulence Brief (Aviation Met),#0B1220 #F8FAFC #38BDF8 #F59E0B #22C55E,"Clean sans, map label style","Cloud, wind barb, lightning, icing (generic)","Map inset plus layers legend, thresholds panels, route strip","Altitude band chart, wind profile lines, hazard tiles",Subtle isobar lines at low opacity,"Real forecast maps, official agency branding","“Aviation weather brief infographic slide, map inset with legend and route strip, clean typography, weather icons, altitude band chart and wind profile lines with hazard tiles, deep navy with sky-blue accents and amber warnings, subtle isobar background, crisp readable, no real forecast maps or branding.”"
Aerospace and Aviation,MRO Workcard and Inspection Manual (AMM style),#FAFAF9 #111827 #334155 #2563EB #F97316,"Manual-style sans, mono part IDs","Wrench, torque, inspection stamp, fastener","Step panels with figures, parts list sidebar, cautions box","Torque table, defect tally bars, step timing chart",Light paper grain with thin rules,"Real OEM diagrams, serials, dense microtext","“MRO workcard infographic slide, maintenance manual layout with step panels and parts list sidebar, clear cautions box, mono part-ID placeholders, torque table and defect tally bars, light paper grain with thin rules, crisp and readable, avoid OEM diagrams and real serials.”"
Aerospace and Aviation,Aircraft Assembly Line Program Board (Lean),#111827 #F8FAFC #22C55E #F59E0B #60A5FA,"Bold sans, board-style labels","Station markers, wrench, checklist, takt clock","Line stations across slide, blockers lane, daily KPI strip","Takt vs actual bars, defect trend, throughput chart",Clean white with subtle industrial rules,"Real factory identifiers, logos, excessive clutter","“Aircraft assembly line program board infographic slide, station lanes across slide with blockers lane and daily KPI strip, bold board-style typography, takt clock and station icons, takt vs actual bars and defect trend plus throughput chart, clean background with subtle rules, crisp readable, no real factory identifiers.”"
Aerospace and Aviation,UAS Drone Mission Planner (Geospatial),#0F172A #F8FAFC #22C55E #60A5FA #F59E0B,"Clean sans, map label style","Drone silhouette, waypoint, camera, battery","Map center with route and geofence, payload cards, checklist lane","Coverage grid, battery timeline, mission success bars","Subtle topo micro-lines, faint grid","Real surveillance guidance, weaponization, real locations","“UAS mission planner infographic slide, geospatial map center with waypoint route and geofence overlay, payload cards and checklist lane, drone and camera icons, coverage grid and battery timeline plus mission success bars, slate palette with green and blue accents and amber warnings, subtle topo background, crisp readable, no real locations or weaponization.”"
Aerospace and Aviation,Composite Manufacturing Layup Traveler,#FFFBF2 #111827 #334155 #16A34A #F59E0B,"Industrial sans, step-first","Ply sheet, roller, cure oven, QC stamp (generic)","Traveler steps, cure schedule strip, inspection gates","Yield trend, defect Pareto, cycle time bars",Light paper with subtle weave texture,"Brand marks, unsafe process details, dense microtext","“Composite layup traveler infographic slide, step-first traveler layout with cure schedule strip and inspection gates, industrial typography, ply and oven icons, yield trend and defect Pareto with cycle time bars, subtle composite weave background, crisp readable, no brand marks or unsafe details.”"
Aerospace and Aviation,Structural Loads and FEA Report (Engineering),#0B1220 #F8FAFC #A3A3A3 #2563EB #F97316,"Technical sans, numeric heavy","Beam, load arrow, mesh, constraint icons","Results dashboard: load cases, mesh panel, key metrics","Stress histogram, displacement trend, margin bars",Subtle mesh watermark on dark or light,"Photoreal parts, proprietary geometry, tiny labels","“Structural loads and FEA infographic slide, engineering results layout with load-case cards and mesh panel, technical typography with numeric callouts, stress histogram and margin bars plus displacement trend, subtle mesh watermark background, crisp vector, avoid proprietary geometry and photoreal parts.”"
Aerospace and Aviation,Air Traffic Control Radar Scope (Green Phosphor),#05070A #16A34A #A7F3D0 #64748B #F8FAFC,"Mono-heavy, compact labels","Radar sweep, targets, vectors, range rings","Central radar plot, track list column, alerts footer","Track density heatmap, sector workload bars, time-on-frequency line","Scanlines, faint range rings, low noise","Real callsigns, real airspace names, authentic sector maps","“ATC radar scope style infographic slide, green phosphor on near-black, central radar plot with range rings and vectors, mono compact labels, track list column, sector workload bars and track density heatmap, subtle scanlines, crisp readable, avoid real callsigns and airspace maps.”"
Aerospace and Aviation,Flight Test Telemetry Range Report (Instrumentation),#0B1220 #F8FAFC #38BDF8 #F59E0B #EF4444 #94A3B8,"Condensed headers, numeric telemetry","Antenna, waveform, waypoint, checklist","Plot-first layout, test point cards, anomalies sidebar","Envelope plot (simplified), time series, anomaly Pareto",Subtle graph-paper grid on dark,"Tail numbers, range names, real flight traces","“Flight test telemetry infographic slide, plot-first layout with test point cards and anomalies sidebar, condensed headers and numeric telemetry, waveform and antenna icons, envelope plot and time-series charts with anomaly Pareto, subtle grid background, crisp readable, no real flight traces or identifiers.”"
Aerospace and Aviation,Flight Dispatch Route Brief (Fuel and Alternates),#0A2540 #F8FAFC #334155 #38BDF8 #F59E0B,"Clean sans, table-friendly","Route line, waypoint, fuel gauge, weather icon","Route map inset, tables for fuel and alternates, key notes panel","Fuel burn bars, ETOPS style timeline (generic), wind component mini chart",Light map grid with subtle route watermark,"Real NOTAM text, real routes, airline branding","“Flight dispatch route brief infographic slide, clean navy and white layout with route map inset, fuel and alternate tables, clear typography, waypoint and fuel icons, fuel burn bars and timeline band with small wind chart, subtle map-grid background, crisp readable, no real routes or NOTAMs.”"
Aerospace and Aviation,Aerodynamics Wind Tunnel Lab (Scientific Figures),#FAFAF9 #111827 #6B7280 #0F766E #2563EB,"Scientific sans, figure-caption style","Airfoil, flow lines, sensor, chart axes","Multi-figure panels with captions, methods sidebar","Cp distribution line, lift-drag polar, contour heatmap",Clean paper white with faint grid,"Misleading “exact” data, photoreal tunnel scenes","“Wind tunnel lab infographic slide, scientific figure panels with captions and methods sidebar, airfoil and flow-line icons, Cp distribution and lift-drag polar charts with contour heatmap, subtle grid background, crisp and credible vector style, avoid photoreal scenes and fake precise data.”"
Aerospace and Aviation,Airline Operations Control Center Wallboard (AOCC),#0B1220 #111827 #60A5FA #22C55E #F59E0B #EF4444,"Condensed UI sans, large numerals","Aircraft, gate, clock, alert bell, route line","KPI strip, flights-in-progress grid, disruption queue, recovery actions lane","OTP trend, delay reasons bars, gate utilization heatmap, recovery timeline",Dark grid with subtle map-dot lattice,"Airline logos, real flight numbers, real airport identifiers","“AOCC wallboard infographic slide, dark ops dashboard with flights grid and disruption queue, condensed UI typography with large numerals, route and gate icons, OTP trend and delay reason bars plus gate heatmap, blue accents with green amber red status, subtle grid background, crisp readable, no logos or real flight data.”"
Aerospace and Aviation,Avionics EWIS Wiring Schematic (Harness Map),#0B3C5D #8BE9FD #F8FAFC #111827 #F59E0B,"Technical sans, mono net names","Connectors, pins, bus lines, labels","Schematic panels, connector callouts, legend and netlist","Interface count bars, pin map mini tables","Blueprint grid, faint trace watermark","Real aircraft wiring, vendor symbols, tiny unreadable labels","“Avionics wiring schematic infographic slide, blueprint-style EWIS panels with connector callouts and legend, technical typography with mono net placeholders, clean bus lines and pin maps, interface count bars and mini tables, blueprint grid background, crisp vector, avoid real aircraft wiring.”"
Aerospace and Aviation,Ramp and Turnaround Coordination Board,#0B1220 #F8FAFC #22C55E #F59E0B #EF4444 #60A5FA,"Condensed headers, big timing labels","Cone, tug, fuel truck, catering, belt loader","Turnaround swimlane, owner column, critical path strip","Gantt mini, task completion bars, delay reason Pareto",Subtle tarmac texture at very low opacity,"Real airline ops data, unsafe ramp details, logos","“Ramp turnaround coordination infographic slide, task swimlanes with owners and critical path strip, big timing labels, ramp equipment icons, Gantt mini and completion bars plus delay Pareto, slate palette with blue and status colors, subtle tarmac texture, crisp readable, no real ops data.”"
Aerospace and Aviation,Ground Support Equipment Fleet Dashboard (GSE),#111827 #F8FAFC #60A5FA #22C55E #F59E0B #EF4444,"UI sans, large KPI tiles","Tug, GPU, belt loader, cone, wrench","Fleet tiles, maintenance lane, utilization panel","Utilization bars, downtime Pareto, battery/charge trend","Subtle concrete texture, faint grid","Real ramp layouts, brand marks, tiny tables","“GSE fleet dashboard infographic slide, equipment tiles with maintenance lane and utilization panel, UI typography and large KPIs, tug and belt loader icons, utilization bars and downtime Pareto with charge trend, subtle concrete texture background, crisp readable, no real ramp layouts or logos.”"
Aerospace and Aviation,Air Cargo Manifest and Hub Routing,#0F172A #F8FAFC #2563EB #22C55E #F59E0B,"Clear sans, table-friendly","Box, pallet, barcode, route arrows","Hub-and-spoke route map, manifest table, capacity lane","Load factor bars, on-time trend, lane volume heatmap",Light grid with faint route watermark,"Real carrier branding, real tracking numbers","“Air cargo routing infographic slide, hub-and-spoke map with manifest table and capacity lane, clean typography, box and barcode icons, load factor bars and on-time trend plus lane volume heatmap, slate and white with blue accents, subtle grid background, crisp readable, no real tracking data or logos.”"
Aerospace and Aviation,Pilot Quick Reference Handbook (QRH) Checklist Cards,#111827 #FFFFFF #CBD5E1 #DC2626 #F59E0B,"Bold headings, ultra-readable labels","Checklist, caution triangle, note tab, switch","Card stack layout, big steps, caution and note callouts","Minimal, small status tiles and timing bars only",Clean white with thin rules,"Real aircraft procedures, manufacturer formatting, tiny text","“Pilot QRH checklist infographic slide, high-readability card layout with large step text, bold headings with caution and note callouts, minimal icons, restrained red and amber highlights, clean white background with thin rules, crisp vector, avoid real procedures and manufacturer formatting.”"
Aerospace and Aviation,Flight Safety Investigation Board (Evidence and Timeline),#111827 #F8FAFC #CBD5E1 #B91C1C #F59E0B,"Formal sans, evidence-friendly","Camera, document, timeline marker, map pin","Evidence cards, findings column, chronology strip","Event timeline, contributing factors bars, risk matrix",Light paper texture with subtle redaction bars,"Real incident details, blame language, official seals","“Flight safety investigation infographic slide, evidence-card layout with findings column and chronology strip, formal typography, document and timeline icons, contributing factors bar chart and risk matrix, subtle redaction accents, clean paper background, crisp and neutral tone, no real incident details or seals.”"
Aerospace and Aviation,Launch Control Countdown Board (Spaceport Ops),#030712 #F8FAFC #22D3EE #F59E0B #EF4444,"Condensed sans, big timecodes","Countdown clock, pad icon, checklist, comm waves","Countdown center, go-no-go table, subsystem tiles","Countdown timeline, go-no-go matrix, anomaly log",Dark panels with subtle star speckle,"Real mission names, agency insignias, classified styling","“Launch control countdown infographic slide, central countdown clock with go-no-go table and subsystem tiles, condensed typography and big timecodes, comm and pad icons, countdown timeline and anomaly log, deep space palette with cyan accents and amber/red warnings, subtle star speckle background, crisp readable, no mission names or insignias.”"
AI,AI Product Feature Integration,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Helvetica-style sans, product brief","plug, spark, checklist","feature cards, journey strip","adoption trend, satisfaction tiles","white only, thin rules",customer data,"“AI feature brief, Helvetica-style sans, brand palette only, feature cards + journey strip, adoption trend and satisfaction tiles, crisp readable, no customer data.”"
AI,Multimodal Capability Overview,#442C81 #FFFFFF #141827 #0461DD #1F2537,Slab-serif headings + sans body,"camera, mic, text, fusion node","modality cards, fusion diagram","capability matrix, quality trend","white only, thin rules",biometric claims,"“AI multimodal overview, slab-serif headings + clean labels, brand palette only, modality cards + fusion diagram, capability matrix and quality trend, crisp readable, avoid biometric claims.”"
AI,Model Monitoring and Drift Ops,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, alert-ready","delta, bell, histogram","monitoring tiles, drift table","drift trend, alert bars","white only, faint dot grid",real production IDs,"“AI monitoring, Inter-style sans, brand palette only, monitoring tiles + drift table, drift trend and alert bars, crisp readable, no real IDs.”"
AI,Edge Inference Deployment,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, engineering labels","chip, device, gauge","device tiers cards, tradeoff panel","latency bars, battery tiles","white only, thin rules",real device IDs,"“AI edge deployment, Inter-style sans, brand palette only, device tier cards + tradeoff panel, latency bars and battery tiles, crisp readable, no real device IDs.”"
AI,Computer Vision Pipeline Spec,#442C81 #FFFFFF #141827 #0461DD #1F2537,Slab-serif headings + sans labels,"camera, bbox, layers","stages, dataset cards, eval strip","PR curve, confusion matrix","white only, faint dot grid",biometric claims,"“AI vision pipeline, slab-serif headings + clean labels, brand palette only, stages + dataset cards, PR curve and confusion matrix, crisp readable, avoid biometric claims.”"
AI,RAG Architecture Brief,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, diagram labels","database, magnifier, arrows","retrieval flow, components cards, risks column","latency line, recall bars, cost tiles","white only, faint dot grid","real endpoints, logos","“AI RAG architecture, Inter-style sans, brand palette only, retrieval flow with component cards, latency and recall charts plus cost tiles, crisp readable, no real endpoints.”"
AI,Explainability Report (Driver View),#442C81 #FFFFFF #141827 #0461DD #1F2537,Georgia-style serif headings + sans labels,"sliders, info, bars","explanation panel, driver cards","driver bars, mini PDP","white only, faint dot grid",overclaiming interpretability,"“AI explainability, serif headings + clean labels, brand palette only, driver bars + mini dependence plot, caveats box, crisp readable.”"
AI,Retrieval Index Health,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, ops labels","database, magnifier, gauge","index tiles, errors box","latency trend, recall bars","white only, thin rules",real endpoints,"“AI retrieval health, Inter-style sans, brand palette only, index tiles + errors box, latency trend and recall bars, crisp readable, no real endpoints.”"
AI,AI Incident Postmortem Summary,#442C81 #FFFFFF #141827 #0461DD #1F2537,Georgia-style serif headings + sans labels,"timeline, warning, checklist","impact box, timeline strip, fixes tracker","impact bars, action tracker table","white only, light paper grain",blame language,"“AI postmortem, serif headings + clean labels, brand palette only, impact box + timeline + fixes tracker, impact bars and action table, neutral tone, crisp readable.”"
AI,Federated Learning Summary,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Helvetica-style sans, diagram labels","nodes, shield, sync arrows","client-server diagram, notes box","participation bars, convergence trend","white only, faint grid",participant data,"“AI federated learning, Helvetica-style sans, brand palette only, client-server diagram + notes, participation bars and convergence trend, crisp readable.”"
AI,Hallucination and Quality Scoreboard,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, metric-first","warning, checklist, quote","failure cards, rubric table","category bars, quality trend","white only, thin rules",“zero hallucinations” claims,"“AI quality scoreboard, Times New Roman, brand palette only, failure cards + rubric table, category bars and quality trend, crisp readable, avoid ‘zero hallucinations’ claims.”"
AI,AI Roadmap and Delivery Plan,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, program labels","calendar, flag, checklist","plan phases, owners strip","timeline, capacity bars","white only, thin rules",vague ownership,"“AI delivery plan, Inter-style sans, brand palette only, phased plan with owners strip, timeline and capacity bars, crisp readable.”"
AI,AI Governance and Controls,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, governance style","gavel, shield, checklist","policy pillars, oversight lane","coverage bars, audit timeline","white only, thin rules",certification claims,"“AI governance, Times New Roman, brand palette only, policy pillars + oversight lane, coverage bars and audit timeline, crisp readable, no certification claims.”"
AI,Fine-Tuning Experiment Tracker,#442C81 #FFFFFF #141827 #0461DD #1F2537,Georgia-style serif headings + sans labels,"flask, tag, timeline","experiment cards, hparams table","loss curve, quality trend, cost bars","white only, light paper grain",real datasets,"“AI fine-tuning tracker, serif headings + clean labels, brand palette only, experiment cards + hparams table, loss curve and quality trend with cost bars, crisp readable, no real datasets.”"
AI,Latency and Cost Optimization Brief,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Helvetica-style sans, finance-ops","stopwatch, coin, gauge","bottlenecks list, roadmap strip","latency histogram, cost trend, savings bars","white only, thin rules",real billing,"“AI latency-cost brief, Helvetica-style sans, brand palette only, bottlenecks list + roadmap, latency histogram and cost trend with savings bars, crisp readable.”"
AI,RL Training Progress Board,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Inter-style sans, numeric focus","loop arrows, gauge, reward","metric tiles, stability notes","reward curve, variance bands, stability bars","white only, thin rules",misleading reward claims,"“AI RL progress, Inter-style sans, brand palette only, reward curve with variance bands, stability bars and metric tiles, crisp readable.”"
AI,Synthetic Data Governance,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, compliance tone","spark, shield, checklist","generation steps, review gates","quality bars, risk tiles","white only, thin rules",enabling deception,"“AI synthetic data governance, Times New Roman, brand palette only, generation steps + review gates, quality bars and risk tiles, crisp readable, avoid deceptive use.”"
AI,Safety Guardrails Policy Sheet,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman serif, policy tone","shield, lock, rule tags","guardrails cards, escalation lane","coverage bars, exception table","white only, thin rules",legal guarantees,"“AI guardrails, Times New Roman, brand palette only, guardrails cards + escalation lane, coverage bars and exceptions table, crisp readable, avoid legal guarantees.”"
AI,Agent Workflow Orchestration,#442C81 #FFFFFF #141827 #0461DD #1F2537,Roboto Condensed headings + sans body,"robot, steps, decision diamond","swimlane flow, tool-call cards","step timing bars, success trend","white only, thin rules","credentials, unsafe automation","“AI agent workflow, condensed headings, brand palette only, swimlane flow with tool-call cards, timing bars and success trend, crisp readable, no credentials.”"
